"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," "," "
"Bending"," ","2"," "," "," ","5"," "," "," "
"By hand"," ","1"," "," "," ","6"," "," "," "
"Carrying less than 5 kg"," ","2","5"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","7"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","7"," "," "," "," "," "," "," "," "
"Finger dexterity"," ","1","4"," "," "," ","2"," "," "
"Grasping"," "," ","4","1"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","4"," ","2"," "
"Keyboarding on phone"," ","6"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","2"," "," ","1","4"," "," "," "
"Lifting less than 5 kg"," ","3","4"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","6","1"," "," "," "," "," "," "
"Other climbing"," ","6"," "," "," ","1"," "," "," "
"Pinching"," ","1","4"," "," "," ","2"," "," "
"Pulling less than 5 kg"," ","5","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","6","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","6","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","1"," "," "," "," "," "," "
"Reaching"," "," ","4","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","2"," "," "," ","2"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","4","1"," ","2"," "
"Stair climbing"," ","3"," "," "," ","4"," "," "," "
"Standing (Continuous)"," ","4"," "," "," ","3"," "," "," "
"Standing (Intermittent)"," "," "," "," ","2","5"," "," "," "
"Travel via car required","6"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","7"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","4"," "," ","1","2"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," "," ","7"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," "," "
"Total","83","71","33","2","9","45","8","7","15"
