"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1","2","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","2","3"," "," "
"Follow multiple step commands","1"," "," "," ","5"," "
"Integrating new learning into practice"," ","1","3","2"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," ","3","2"
"Practicing good judgement and decision-making"," "," ","1","5"," "," "
"Problem solving"," ","2","3","1"," "," "
"Reading electronic documents"," "," ","5","1"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","1"," "," "
"Require instant recall of facts/data","1"," "," "," ","2","3"
"Self-starting/initiating"," ","2","3","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","4"," "," "
"Total","3","9","24","21","10","5"
