"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","19"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","2","16"," ","1"," "
"By hand"," ","5"," "," ","3","12"," "," "," "
"Carrying less than 5 kg"," ","5","12","1"," "," ","2"," "," "
"Carrying more than 5 kg"," ","16","4"," "," "," "," "," "," "
"Congested/cluttered working areas","13"," "," "," "," "," "," "," ","7"
"Exposure to chemicals","18"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","19"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","16"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","18"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","15"
"Exposure to insects or animals (e.g. bed bugs, cats)","19"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","15"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","1","10","5"," "," ","4"," "," "
"Grasping"," "," ","13","3"," "," ","4"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","13"," ","3"," "
"Keyboarding on phone"," ","18"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","2"," "," ","1","16"," ","1"," "
"Lifting less than 5 kg"," ","4","11","2"," "," ","3"," "," "
"Lifting more than 5 kg"," ","13","5","2"," "," "," "," "," "
"Other climbing"," ","19"," "," "," ","1"," "," "," "
"Pinching"," ","3","12","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","10","8","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","15","3","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","7","12"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","10","8","2"," "," "," "," "," "
"Reaching"," ","1","12","4"," "," ","3"," "," "
"Sitting (Continuous)"," ","3"," "," ","2","14"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","10","7"," ","3"," "
"Stair climbing"," ","8"," "," ","2","9"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","7","9"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","10","3"," ","7"," "
"Travel via car required","17"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","20"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","10"," "," ","1","8"," ","1"," "
"Use of sharp tools","16"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","12","4"," ","4"," "
"Work only indoors","4"," "," "," "," "," "," "," ","16"
"Work outdoors > 1 hour","20"," "," "," "," "," "," "," "," "
"Total","219","153","110","25","55","113","20","24","61"
