"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","11","9","21"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","7","16","17"," "," "
"Follow multiple step commands","1"," "," "," "," ","28","12"
"Integrating new learning into practice"," "," ","10","12","19"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","29","11"
"Practicing good judgement and decision-making"," "," ","11","3","27"," "," "
"Problem solving"," "," ","11","10","20"," "," "
"Reading electronic documents"," ","2","3","30","6"," "," "
"Reading paper documents (handwritten or typed)"," ","5","7","25","4"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","26","13"
"Self-starting/initiating"," ","1","13","14","13"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","8","15","18"," "," "
"Total","4","9","81","134","145","83","36"
