"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","11","7","24"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","10","11","19"," "," "
"Follow multiple step commands","5"," "," "," "," ","25","12"
"Integrating new learning into practice"," "," ","8","7","27"," "," "
"Memory aids can be used (e.g. information sheets)","3"," "," "," "," ","23","16"
"Practicing good judgement and decision-making"," "," ","13","6","23"," "," "
"Problem solving"," "," ","15","8","19"," "," "
"Reading electronic documents"," ","5","9","27","1"," "," "
"Reading paper documents (handwritten or typed)"," ","1","19","19","3"," "," "
"Require instant recall of facts/data","6"," "," "," "," ","23","13"
"Self-starting/initiating"," "," ","14","7","21"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","14","21"," "," "
"Total","14","8","106","106","158","71","41"
