"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","3"," ","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","5"," "," "
"Follow multiple step commands"," "," "," "," ","7","1"
"Integrating new learning into practice"," ","2","1","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","8"," "
"Practicing good judgement and decision-making"," ","2","1","5"," "," "
"Problem solving"," ","4"," ","4"," "," "
"Reading electronic documents"," ","4","4"," "," "," "
"Reading paper documents (handwritten or typed)"," ","3","5"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","6","1"
"Self-starting/initiating"," ","4","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","4","1","3"," "," "
"Total","1","28","14","30","21","2"
