"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," "," ","2"
"Bending"," "," "," "," ","1","3"," "," "," "
"By hand"," "," "," "," "," ","4"," "," "," "
"Carrying less than 5 kg"," "," ","3","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","2","2"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," "," "
"Exposure to strong odors","3"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","1","1"," "," ","1"," "," "
"Grasping"," ","1","1","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","2"," "," "," "
"Keyboarding on phone"," ","3"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," ","1","2"," "," "," "
"Lifting less than 5 kg"," "," ","3","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","1","3"," "," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","1"," "," "," "
"Pinching"," ","1","2","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","2","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","2"," "," "," "," "," "," "
"Reaching"," ","1","1","2"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," ","1","2"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","1","2"," ","1"," "
"Stair climbing"," ","1"," "," "," ","3"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","1"," ","1"," "
"Travel via car required","3"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","3"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","1"," "," "," ","3"," "," "," "
"Use of sharp tools","3"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","3"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "," ","1"
"Total","43","24","24","8","10","29","1","4","13"
