"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","3","1"," "," "
"Independent work"," "," ","2","1","2"," "," "
"Work at a fast pace"," ","2","1","2"," "," "," "
"Work under tight deadlines"," ","3"," ","2"," "," "," "
"Work with clients that speak little or no English","2"," "," "," "," "," ","3"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","3","1"
"Work with clients who may be aggressive"," "," "," "," "," ","2","3"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5"," "
"Work with clients with cognitive deficits"," "," "," "," "," ","2","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","5"," "
"Work with interdisciplinary team members"," "," ","2","3"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," "," ","3"
"Work with more than one preceptor"," ","3","1","1"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","5"," "," "," "," "," "
"Work with other students"," ","3"," ","2"," "," "," "
"Total","8","16","7","14","3","17","15"
