"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","46"," "," "," "," "," "," "," ","4"
"Bending"," ","7"," "," ","9","33"," ","1"," "
"By hand"," ","4"," "," ","13","28"," ","5"," "
"Carrying less than 5 kg"," ","14","26","7"," "," ","3"," "," "
"Carrying more than 5 kg"," ","34","15","1"," "," "," "," "," "
"Congested/cluttered working areas","33"," "," "," "," "," "," "," ","17"
"Exposure to chemicals","47"," "," "," "," "," "," "," ","3"
"Exposure to excessive dust","49"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","34"," "," "," "," "," "," "," ","16"
"Exposure to extreme temperatures","47"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","17"," "," "," "," "," "," "," ","33"
"Exposure to insects or animals (e.g. bed bugs, cats)","44"," "," "," "," "," "," "," ","6"
"Exposure to strong odors","30"," "," "," "," "," "," "," ","20"
"Finger dexterity"," ","7","20","11"," "," ","12"," "," "
"Grasping"," ","6","19","12"," "," ","13"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","13","31"," ","4"," "
"Keyboarding on phone"," ","43"," "," ","1","6"," "," "," "
"Kneeling/squatting"," ","13"," "," ","5","31"," ","1"," "
"Lifting less than 5 kg"," ","8","24","12"," "," ","6"," "," "
"Lifting more than 5 kg"," ","25","18","6"," "," ","1"," "," "
"Other climbing"," ","47"," "," ","1","2"," "," "," "
"Pinching"," ","12","21","9"," "," ","8"," "," "
"Pulling less than 5 kg"," ","23","22","3"," "," ","2"," "," "
"Pulling more than 5 kg"," ","26","19","4"," "," ","1"," "," "
"Pushing less than 5 kg"," ","17","26","4"," "," ","3"," "," "
"Pushing more than 5 kg"," ","13","21","13"," "," ","3"," "," "
"Reaching"," ","4","19","14"," "," ","13"," "," "
"Sitting (Continuous)"," ","7"," "," ","4","39"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","18","28"," ","4"," "
"Stair climbing"," ","25"," "," ","1","24"," "," "," "
"Standing (Continuous)"," ","4"," "," ","15","24"," ","7"," "
"Standing (Intermittent)"," "," "," "," ","26","10"," ","14"," "
"Travel via car required","41"," "," "," "," "," "," "," ","9"
"Travel via public transportation required","45"," "," "," "," "," "," "," ","5"
"Twisting /awkward posture"," ","29"," "," ","2","19"," "," "," "
"Use of sharp tools","45"," "," "," "," "," "," "," ","5"
"Walking"," ","1"," "," ","23","15"," ","11"," "
"Work only indoors","6"," "," "," "," "," "," "," ","44"
"Work outdoors > 1 hour","50"," "," "," "," "," "," "," "," "
"Total","534","371","250","96","131","290","65","47","166"
