"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","25"," "," "," "," ","6","18",1
"Group work (e.g. Client and family meetings, team meetings)"," ","12","2","35"," "," "," ",1
"Independent work"," "," ","23","17","9"," "," ",1
"Work at a fast pace"," ","5","16","19","9"," "," ",1
"Work under tight deadlines"," ","13","13","18","5"," "," ",1
"Work with clients that speak little or no English","4"," "," "," "," ","17","28",1
"Work with clients who have experienced psychological trauma","15"," "," "," "," ","9","25",1
"Work with clients who may be aggressive","30"," "," "," "," ","3","16",1
"Work with clients with challenging economic and/or personal circumstances","7"," "," "," "," ","20","22",1
"Work with clients with cognitive deficits","13"," "," "," "," ","18","18",1
"Work with clients with multiple diagnoses","1"," "," "," "," ","22","26",1
"Work with interdisciplinary team members"," ","2","10","32","5"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","32"," "," "," "," ","8","9",1
"Work with more than one preceptor"," ","18","12","11","8"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","26","2","18","3"," "," ",1
"Work with other students"," ","23","3","19","4"," "," ",1
"Total","127","99","81","169","43","103","162",16
