"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," "," ","3","5"," "," "
"Follow multiple step commands"," "," "," "," "," ","6","2"
"Integrating new learning into practice"," "," ","2","2","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8"," "
"Practicing good judgement and decision-making"," "," ","2","1","5"," "," "
"Problem solving"," "," ","3","1","4"," "," "
"Reading electronic documents"," ","2","2","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","6","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","4","1"
"Self-starting/initiating"," "," ","1","3","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","5"," "," "
"Total","3","2","15","23","32","18","3"
