"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," "," "
"Bending"," ","4"," "," "," ","5"," "," "," "
"By hand"," ","4"," "," ","2","3"," "," "," "
"Carrying less than 5 kg"," ","5","3","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","6","2","1"," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","9"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","9"," "," "," "," "," "," "," "," "
"Exposure to strong odors","9"," "," "," "," "," "," "," "," "
"Finger dexterity"," ","2","3","3"," "," ","1"," "," "
"Grasping"," "," ","5","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","3"," ","2"," "
"Keyboarding on phone"," ","7"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","5"," "," "," ","4"," "," "," "
"Lifting less than 5 kg"," ","3","3","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","2","1"," "," "," "," "," "
"Other climbing"," ","9"," "," "," "," "," "," "," "
"Pinching"," ","3","4","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","7","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","8","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","6","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","7","2"," "," "," "," "," "," "
"Reaching"," ","1","6","1"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," ","3","2"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","6","1"," ","2"," "
"Stair climbing"," ","4"," "," "," ","5"," "," "," "
"Standing (Continuous)"," ","2"," "," ","1","5"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","3"," ","3"," "
"Travel via car required","7"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","8"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","4"," "," "," "
"Use of sharp tools","7"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," "," ","9"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," "," "
"Total","109","95","36","15","19","46","3","11","17"
