"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","1","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","4","2"," "," "
"Follow multiple step commands"," "," "," "," "," ","9","1"
"Integrating new learning into practice"," "," ","3","4","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","1"
"Practicing good judgement and decision-making"," "," ","6","1","3"," "," "
"Problem solving"," "," ","7","1","2"," "," "
"Reading electronic documents"," ","1","4","5"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","6","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","8","1"
"Self-starting/initiating"," "," ","3","5","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","6","1","3"," "," "
"Total","1","1","41","28","20","26","3"
