"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1","22","6","61"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","16","23","50"," "," "
"Follow multiple step commands","4"," "," "," "," ","71","15"
"Integrating new learning into practice"," "," ","23","17","50"," "," "
"Memory aids can be used (e.g. information sheets)","3"," "," "," "," ","70","17"
"Practicing good judgement and decision-making"," "," ","17","7","66"," "," "
"Problem solving"," "," ","24","14","52"," "," "
"Reading electronic documents"," ","6","16","59","9"," "," "
"Reading paper documents (handwritten or typed)"," ","2","27","47","14"," "," "
"Require instant recall of facts/data","5"," "," "," "," ","55","30"
"Self-starting/initiating"," ","1","21","24","44"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","16","17","57"," "," "
"Total","12","11","182","214","403","196","62"
