"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","2"," ","7"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","6"," "," "
"Follow multiple step commands"," "," "," "," ","8","1"
"Integrating new learning into practice"," ","2","1","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","8","1"
"Practicing good judgement and decision-making"," ","2","1","6"," "," "
"Problem solving"," ","3"," ","6"," "," "
"Reading electronic documents"," ","4","4","1"," "," "
"Reading paper documents (handwritten or typed)"," ","4","5"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","7","1"
"Self-starting/initiating"," ","3","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3","1","5"," "," "
"Total","1","25","14","42","23","3"
