"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "
"Bending"," ","2"," "," ","1","3"," "," "
"By hand"," ","3"," "," ","1","2"," "," "
"Carrying less than 5 kg"," ","2","3","1"," "," "," "," "
"Carrying more than 5 kg"," ","4","2"," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," ","1"
"Exposure to chemicals","6"," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," ","2"
"Exposure to strong odors","4"," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","4","1"," "," "," "," "
"Grasping"," ","1","3","2"," "," "," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","1","3"," "," "
"Keyboarding on phone"," ","5"," "," "," ","1"," "," "
"Kneeling/squatting"," ","1"," "," "," ","5"," "," "
"Lifting less than 5 kg"," ","2","3","1"," "," "," "," "
"Lifting more than 5 kg"," ","5","1"," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "
"Pinching"," ","2","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","5"," ","1"," "," "," "," "
"Pulling more than 5 kg"," ","5","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1","1"," "," "," "," "
"Pushing more than 5 kg"," ","5","1"," "," "," "," "," "
"Reaching"," ","1","3","2"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","1","2","1"," "
"Sitting (Intermittent)"," ","2"," "," ","1","2","1"," "
"Stair climbing"," ","3"," "," ","1","2"," "," "
"Standing (Continuous)"," ","3"," "," ","2","1"," "," "
"Standing (Intermittent)"," ","1"," "," ","1","3","1"," "
"Travel via car required","6"," "," "," "," "," "," "," "
"Travel via public transportation required","5"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," ","2"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","1"
"Walking"," ","1"," "," ","2","3"," "," "
"Work only indoors","3"," "," "," "," "," "," ","3"
"Work outdoors > 6 hour","6"," "," "," "," "," "," "," "
"Total","69","71","25","10","11","30","3","15"
