"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," ","1"
"Bending"," "," "," ","1","3"," "," "," "
"By hand"," "," "," "," ","4"," "," "," "
"Carrying less than 5 kg"," "," ","3"," "," ","1"," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," ","2"
"Exposure to chemicals","3"," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","2"," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," ","2"
"Exposure to strong odors","2"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","3"," "," ","1"," "," "
"Grasping"," "," ","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4"," "," "," "
"Keyboarding on phone"," ","2"," "," ","2"," "," "," "
"Kneeling/squatting"," ","1"," "," ","3"," "," "," "
"Lifting less than 5 kg"," "," ","3"," "," ","1"," "," "
"Lifting more than 5 kg"," ","4"," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," "," "," "," "
"Pinching"," "," ","3"," "," ","1"," "," "
"Pulling less than 5 kg"," ","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","3","1"," "," "," "," "," "
"Reaching"," "," ","3"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," ","1","2"," "," "," "
"Sitting (Intermittent)"," "," "," ","1","2"," ","1"," "
"Stair climbing"," "," "," ","1","3"," "," "," "
"Standing (Continuous)"," ","1"," ","1","1"," ","1"," "
"Standing (Intermittent)"," "," "," ","1","2"," ","1"," "
"Travel via car required","3"," "," "," "," "," "," ","1"
"Travel via public transportation required","3"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," ","2"," "," "," "
"Use of sharp tools","2"," "," "," "," "," "," ","2"
"Walking"," "," "," ","1","3"," "," "," "
"Work only indoors","3"," "," "," "," "," "," ","1"
"Work outdoors > 1 hour","3"," "," "," "," "," "," ","1"
"Total","36","32","21","7","31","6","3","20"
