"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","1","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","4","1"
"Integrating new learning into practice"," "," ","2","2","1"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4","1"
"Practicing good judgement and decision-making"," "," ","2","1","2"," "," "
"Problem solving"," "," ","1","3","1"," "," "
"Reading electronic documents"," ","1"," ","3","1"," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","4","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","2","2"
"Self-starting/initiating"," ","1","1","2","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","2","2"," "," "
"Total","1","2","10","19","14","10","4"
