"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "
"Bending"," ","1"," "," ","2"," "," "
"By hand"," ","2"," "," ","1"," "," "
"Carrying less than 5 kg"," ","2","1"," "," "," "," "
"Carrying more than 5 kg"," ","2","1"," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," ","1"
"Exposure to chemicals","3"," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "
"Exposure to extreme temperatures","3"," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," ","1"
"Finger dexterity"," ","2","1"," "," "," "," "
"Grasping"," ","2","1"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","1","2"," "," "
"Keyboarding on phone"," ","1"," "," ","2"," "," "
"Kneeling/squatting"," ","1"," "," ","2"," "," "
"Lifting less than 5 kg"," ","2","1"," "," "," "," "
"Lifting more than 5 kg"," ","3"," "," "," "," "," "
"Other climbing"," ","3"," "," "," "," "," "
"Pinching"," ","2","1"," "," "," "," "
"Pulling less than 5 kg"," ","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","3"," "," "," "," "," "
"Pushing more than 5 kg"," ","3"," "," "," "," "," "
"Reaching"," ","2","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","1"," "
"Stair climbing"," ","2"," "," ","1"," "," "
"Standing (Continuous)"," ","2"," "," ","1"," "," "
"Standing (Intermittent)"," "," "," "," ","3"," "," "
"Travel via car required","3"," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," ","1"," "," "
"Use of sharp tools","3"," "," "," "," "," "," "
"Walking"," "," "," "," ","3"," "," "
"Work only indoors","1"," "," "," "," "," ","2"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "
"Total","36","44","7","1","22","1","6"
