"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","72"," "," "," "," "," "," "," ","4"
"Bending"," ","8"," "," ","13","52"," ","3"," "
"By hand"," ","9"," "," ","21","39"," ","7"," "
"Carrying less than 5 kg"," ","18","39","12"," "," ","7"," "," "
"Carrying more than 5 kg"," ","53","21","2"," "," "," "," "," "
"Congested/cluttered working areas","56"," "," "," "," "," "," "," ","20"
"Exposure to chemicals","72"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","73"," "," "," "," "," "," "," ","3"
"Exposure to excessive noise /auditory distractions","56"," "," "," "," "," "," "," ","20"
"Exposure to extreme temperatures","73"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","35"," "," "," "," "," "," "," ","41"
"Exposure to insects or animals (e.g. bed bugs, cats)","69"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","57"," "," "," "," "," "," "," ","19"
"Finger dexterity"," ","7","33","14"," "," ","22"," "," "
"Grasping"," ","5","30","18"," "," ","23"," "," "
"Keyboarding on computer or tablet"," ","5"," "," ","17","49"," ","5"," "
"Keyboarding on phone"," ","66"," "," ","1","9"," "," "," "
"Kneeling/squatting"," ","16"," "," ","6","51"," ","3"," "
"Lifting less than 5 kg"," ","7","39","22"," "," ","8"," "," "
"Lifting more than 5 kg"," ","35","30","10"," "," ","1"," "," "
"Other climbing"," ","70"," "," "," ","6"," "," "," "
"Pinching"," ","11","37","11"," "," ","17"," "," "
"Pulling less than 5 kg"," ","36","34","4"," "," ","2"," "," "
"Pulling more than 5 kg"," ","43","30","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","28","38","6"," "," ","4"," "," "
"Pushing more than 5 kg"," ","23","34","15"," "," ","4"," "," "
"Reaching"," ","3","29","24"," "," ","20"," "," "
"Sitting (Continuous)"," ","16"," "," ","8","51"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","29","41"," ","6"," "
"Stair climbing"," ","35"," "," ","1","38"," ","2"," "
"Standing (Continuous)"," ","9"," "," ","18","43"," ","6"," "
"Standing (Intermittent)"," "," "," "," ","36","19"," ","21"," "
"Travel via car required","60"," "," "," "," "," "," "," ","16"
"Travel via public transportation required","66"," "," "," "," "," "," "," ","10"
"Twisting /awkward posture"," ","39"," "," ","4","32"," ","1"," "
"Use of sharp tools","71"," "," "," "," "," "," "," ","5"
"Walking"," ","1"," "," ","29","24"," ","22"," "
"Work only indoors","19"," "," "," "," "," "," "," ","57"
"Work outdoors > 1 hour","75"," "," "," "," "," "," "," ","1"
"Total","854","543","394","141","183","454","108","77","210"
