"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","7"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","1","6"," "," "
"Follow multiple step commands"," "," "," "," "," ","8","2"
"Integrating new learning into practice"," "," ","2","2","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","1"
"Practicing good judgement and decision-making"," "," ","3","1","6"," "," "
"Problem solving"," "," ","4"," ","6"," "," "
"Reading electronic documents"," ","1","4","4","1"," "," "
"Reading paper documents (handwritten or typed)"," "," ","4","6"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","7","1"
"Self-starting/initiating"," "," ","3","1","6"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","1","5"," "," "
"Total","2","1","29","17","43","24","4"
