"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","11"," "," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","4","6"," "," "," "
"By hand"," ","1"," "," ","3","7"," "," "," "
"Carrying less than 5 kg"," ","3","6","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","7","4"," "," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","11"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","9"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","7"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","2","5","3"," "," ","1"," "," "
"Grasping"," ","1","6","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","4","5"," "," "," "
"Keyboarding on phone"," ","8"," "," "," ","3"," "," "," "
"Kneeling/squatting"," "," "," "," ","4","7"," "," "," "
"Lifting less than 5 kg"," ","1","7","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Other climbing"," ","10"," "," "," ","1"," "," "," "
"Pinching"," ","3","5","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","8","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","7","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","8","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Reaching"," ","1","6","3"," "," ","1"," "," "
"Sitting (Continuous)"," ","4"," "," ","2","5"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","3","7"," ","1"," "
"Stair climbing"," ","2"," "," "," ","9"," "," "," "
"Standing (Continuous)"," ","1"," "," ","3","7"," "," "," "
"Standing (Intermittent)"," "," "," "," ","5","5"," ","1"," "
"Travel via car required","11"," "," "," "," "," "," "," "," "
"Travel via public transportation required","11"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","5"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","4","5"," ","2"," "
"Work only indoors","3"," "," "," "," "," "," "," ","8"
"Work outdoors > 2 hour","10"," "," "," "," "," "," "," ","1"
"Total","123","87","59","16","33","72","4","4","31"
