"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","2","2","7"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","3","6"," "," "
"Follow multiple step commands"," "," "," "," ","7","4"
"Integrating new learning into practice"," ","4","3","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","7","4"
"Practicing good judgement and decision-making"," ","1","2","8"," "," "
"Problem solving"," ","2","2","7"," "," "
"Reading electronic documents","1","1","7","2"," "," "
"Reading paper documents (handwritten or typed)","2","4","4","1"," "," "
"Require instant recall of facts/data"," "," "," "," ","8","3"
"Self-starting/initiating"," ","4","2","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3","1","7"," "," "
"Total","3","23","26","47","22","11"
