"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","1","6"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","11","1"," "," "
"Independent work"," "," ","4","3","6"," "," "
"Work at a fast pace"," ","1","4","6","2"," "," "
"Work under tight deadlines"," ","6","3","3","1"," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","5","6"
"Work with clients who have experienced psychological trauma","6"," "," "," "," ","2","5"
"Work with clients who may be aggressive","8"," "," "," "," ","1","4"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","6","6"
"Work with clients with cognitive deficits","4"," "," "," "," ","7","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","5"
"Work with interdisciplinary team members"," "," ","3","7","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","10"," "," "," "," ","1","2"
"Work with more than one preceptor"," ","4","1","3","5"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7"," ","5","1"," "," "
"Work with other students"," ","5","3","5"," "," "," "
"Total","37","23","19","43","19","31","36"
