"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "," "
"Bending"," "," "," "," "," ","6"," "," "," "
"By hand"," ","1"," "," "," ","5"," "," "," "
"Carrying less than 5 kg"," "," ","5","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","4","2"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","6"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","6"," "," "," "," "," "," "," "," "
"Finger dexterity"," "," ","3"," "," "," ","3"," "," "
"Grasping"," "," ","2","1"," "," ","3"," "," "
"Keyboarding on computer or tablet"," "," "," "," "," ","3"," ","3"," "
"Keyboarding on phone"," ","5"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","5"," "," "," "
"Lifting less than 5 kg"," ","1","4","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "," "
"Pinching"," "," ","3"," "," "," ","3"," "," "
"Pulling less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Reaching"," "," ","2","2"," "," ","2"," "," "
"Sitting (Continuous)"," ","1"," "," "," ","2"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","2","1"," ","3"," "
"Stair climbing"," ","1"," "," "," ","5"," "," "," "
"Standing (Continuous)"," ","3"," "," "," ","3"," "," "," "
"Standing (Intermittent)"," ","1"," "," ","2","3"," "," "," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","6"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," ","1","2"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," "," ","6"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "," "
"Total","69","49","27","5","6","43","11","9","15"
