"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," "," "
"Bending"," ","7"," "," "," ","2"," "," "," "
"By hand"," ","4"," "," "," ","5"," "," "," "
"Carrying less than 5 kg"," ","5","4"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","9"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","8"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","9"," "," "," "," "," "," "," "," "
"Exposure to strong odors","5"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","2","5","1"," "," ","1"," "," "
"Grasping"," ","5","3","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","5"," ","2"," "
"Keyboarding on phone"," ","9"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","7"," "," "," ","2"," "," "," "
"Lifting less than 5 kg"," ","6","3"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","8","1"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","1"," "," "," "
"Pinching"," ","5","3","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","7","1"," "," "," ","1"," "," "
"Pulling more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","7","1"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","9"," "," "," "," "," "," "," "
"Reaching"," ","5","3","1"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","3"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","4","2"," ","3"," "
"Stair climbing"," ","3"," "," "," ","6"," "," "," "
"Standing (Continuous)"," ","3"," "," "," ","6"," "," "," "
"Standing (Intermittent)"," "," "," "," ","2","5"," ","2"," "
"Travel via car required","6"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","6"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","8"," "," "," ","1"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," "," ","7"," ","2"," "
"Work only indoors","4"," "," "," "," "," "," "," ","5"
"Work outdoors > 2 hour","5"," "," "," "," "," "," "," ","4"
"Total","100","127","24","4","11","45","3","11","26"
