"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","1","3"," "," "
"By hand"," ","1"," "," ","1","3"," "," "
"Carrying less than 5 kg"," ","1","3","1"," "," "," "," "
"Carrying more than 5 kg"," ","3","2"," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," ","1"
"Exposure to chemicals","5"," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","3","2"," "," "," "," "
"Grasping"," "," ","2","3"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","4"," "," "
"Keyboarding on phone"," ","3"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," "," ","5"," "," "
"Lifting less than 5 kg"," ","1","3","1"," "," "," "," "
"Lifting more than 5 kg"," ","4","1"," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "
"Pinching"," "," ","3","2"," "," "," "," "
"Pulling less than 5 kg"," ","4"," ","1"," "," "," "," "
"Pulling more than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1","1"," "," "," "," "
"Pushing more than 5 kg"," ","4","1"," "," "," "," "," "
"Reaching"," "," ","2","3"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","2","2"," "
"Stair climbing"," ","1"," "," ","1","3"," "," "
"Standing (Continuous)"," ","1"," "," ","2","2"," "," "
"Standing (Intermittent)"," "," "," "," ","1","3","1"," "
"Travel via car required","5"," "," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","2"," "," "
"Use of sharp tools","4"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","3"," "," "
"Work only indoors","2"," "," "," "," "," "," ","3"
"Work outdoors > 5 hour","5"," "," "," "," "," "," "," "
"Total","57","40","22","14","11","35","3","13"
