"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","50"," "," "," "," "," "," "," ","7"
"Bending"," ","9"," "," ","8","39"," ","1"," "
"By hand"," ","17"," "," ","10","25"," ","5"," "
"Carrying less than 5 kg"," ","21","28","8"," "," "," "," "," "
"Carrying more than 5 kg"," ","41","11","5"," "," "," "," "," "
"Congested/cluttered working areas","36"," "," "," "," "," "," "," ","21"
"Exposure to chemicals","45"," "," "," "," "," "," "," ","12"
"Exposure to excessive dust","55"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","34"," "," "," "," "," "," "," ","23"
"Exposure to extreme temperatures","55"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","51"
"Exposure to insects or animals (e.g. bed bugs, cats)","50"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","23"," "," "," "," "," "," "," ","34"
"Finger dexterity"," ","17","23","10"," "," ","7"," "," "
"Grasping"," ","11","29","12"," "," ","5"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","30","22"," ","4"," "
"Keyboarding on phone"," ","49"," "," ","1","7"," "," "," "
"Kneeling/squatting"," ","14"," "," ","3","40"," "," "," "
"Lifting less than 5 kg"," ","13","32","11"," "," ","1"," "," "
"Lifting more than 5 kg"," ","23","30","4"," "," "," "," "," "
"Other climbing"," ","54"," "," "," ","3"," "," "," "
"Pinching"," ","28","23","4"," "," ","2"," "," "
"Pulling less than 5 kg"," ","26","29","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","29","24","4"," "," "," "," "," "
"Pushing less than 5 kg"," ","18","35","4"," "," "," "," "," "
"Pushing more than 5 kg"," ","17","38","2"," "," "," "," "," "
"Reaching"," ","11","30","10"," "," ","6"," "," "
"Sitting (Continuous)"," ","20"," "," ","6","31"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","16","38"," ","2"," "
"Stair climbing"," ","24"," "," ","5","27"," ","1"," "
"Standing (Continuous)"," ","8"," "," ","12","27"," ","10"," "
"Standing (Intermittent)"," "," "," "," ","23","23"," ","11"," "
"Travel via car required","57"," "," "," "," "," "," "," "," "
"Travel via public transportation required","55"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","31"," "," ","4","22"," "," "," "
"Use of sharp tools","55"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","13","29"," ","15"," "
"Work only indoors","1"," "," "," "," "," "," "," ","56"
"Work outdoors > 2 hour","57"," "," "," "," "," "," "," "," "
"Total","579","483","332","76","131","333","21","49","219"
