"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","2","4"," "," "," "
"By hand"," ","1"," "," "," ","5"," "," "," "
"Carrying less than 5 kg"," ","2","3","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","6"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","3","2"," "," ","1"," "," "
"Grasping"," "," ","3","3"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","3"," "," "," "
"Keyboarding on phone"," ","3"," "," "," ","3"," "," "," "
"Kneeling/squatting"," "," "," "," ","2","4"," "," "," "
"Lifting less than 5 kg"," ","1","4","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","2"," "," "," "
"Pinching"," "," ","4","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Reaching"," "," ","3","3"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","2"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","1","3"," ","2"," "
"Stair climbing"," "," "," "," ","1","5"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","3"," ","1"," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","6"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","4"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","4"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," ","1"
"Total","65","36","36","12","16","44","1","5","19"
