"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","3","5"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","2","9","2"," "," "
"Independent work"," "," ","6","5","3"," "," "
"Work at a fast pace"," "," ","4","7","3"," "," "
"Work under tight deadlines"," ","3","2","8","1"," "," "
"Work with clients that speak little or no English","4"," "," "," "," ","2","8"
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","4","5"
"Work with clients who may be aggressive","9"," "," "," "," ","1","4"
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","4","8"
"Work with clients with cognitive deficits","1"," "," "," "," ","10","3"
"Work with clients with multiple diagnoses","1"," "," "," "," ","6","7"
"Work with interdisciplinary team members"," "," ","3","8","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","8"," "," "," "," ","2","4"
"Work with more than one preceptor"," ","3","4","3","4"," "," "
"Work with Occupational Therapy Assistant(s)"," ","2"," ","11","1"," "," "
"Work with other students"," ","2","1","8","3"," "," "
"Total","36","11","22","59","20","32","44"
