"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","5","12"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","10","4","6"," "," "
"Follow multiple step commands","4"," "," "," "," ","14","4"
"Integrating new learning into practice"," "," ","5","7","10"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","16","6"
"Practicing good judgement and decision-making"," "," ","9","3","10"," "," "
"Problem solving"," "," ","13","2","7"," "," "
"Reading electronic documents"," ","6","6","6","4"," "," "
"Reading paper documents (handwritten or typed)"," ","1","6","10","5"," "," "
"Require instant recall of facts/data","5"," "," "," "," ","9","8"
"Self-starting/initiating"," ","1","6","4","11"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","7","13"," "," "
"Total","9","10","62","48","78","39","18"
