"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Yes"
"Adverse lighting conditions"," ","1"," "," ","1"," "," "
"Bending"," ","2"," "," "," "," "," "
"By hand"," ","2"," "," "," "," "," "
"Carrying less than 5 kg"," ","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","2"," "," "," "," "," "
"Congested/cluttered working areas"," ","2"," "," "," "," "," "
"Exposure to chemicals","1"," "," "," "," "," ","1"
"Exposure to excessive dust"," ","1"," "," ","1"," "," "
"Exposure to excessive noise /auditory distractions"," "," "," "," "," ","2"," "
"Exposure to extreme temperatures","2"," "," "," "," "," "," "
"Exposure to infectious agents/disease"," "," ","1"," ","1"," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)"," "," "," "," ","1","1"," "
"Exposure to strong odors","2"," "," "," "," "," "," "
"Finger dexterity"," "," "," "," ","2"," "," "
"Grasping"," ","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1","1"," "," "," "," "
"Keyboarding on phone"," "," "," ","2"," "," "," "
"Kneeling/squatting","1","1"," "," "," "," "," "
"Lifting less than 5 kg"," ","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","2"," "," "," "," "," "
"Other climbing","1"," "," "," "," "," ","1"
"Pinching"," ","2"," "," "," "," "," "
"Pulling less than 5 kg"," "," "," "," ","2"," "," "
"Pulling more than 5 kg"," "," "," "," "," ","2"," "
"Pushing less than 5 kg"," "," ","1","1"," "," "," "
"Pushing more than 5 kg"," "," ","1","1"," "," "," "
"Reaching"," ","1"," "," "," ","1"," "
"Sitting (Continuous)","1"," "," "," "," "," ","1"
"Sitting (Intermittent)","1","1"," "," "," "," "," "
"Stair climbing","1"," "," "," "," "," ","1"
"Standing (Continuous)","2"," "," "," "," "," "," "
"Standing (Intermittent)","2"," "," "," "," "," "," "
"Travel via car required","1"," "," "," "," "," ","1"
"Travel via public transportation required","1"," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," "," "," "
"Use of sharp tools"," ","2"," "," "," "," "," "
"Walking","2"," "," "," "," "," "," "
"Work only indoors","2"," "," "," "," "," "," "
"Work outdoors > 2 hour","2"," "," "," "," "," "," "
"Total","22","28","4","4","8","6","6"
