"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","2","1"," ","1"," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","2"," ","1"
"Follow multiple step commands","1","2"," ","1"," "
"Integrating new learning into practice"," "," ","3","1"," "
"Memory aids can be used (e.g. information sheets)"," ","1","2","1"," "
"Practicing good judgement and decision-making","1"," ","2","1"," "
"Problem solving"," ","3"," ","1"," "
"Reading electronic documents"," ","2","1","1"," "
"Reading paper documents (handwritten or typed)"," ","2","1","1"," "
"Require instant recall of facts/data","1","1","1","1"," "
"Self-starting/initiating"," "," ","3","1"," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3"," "," ","1"
"Total","5","16","15","10","2"
