"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2"," ","2"," "," "
"Follow multiple step commands"," "," "," "," "," ","3","1"
"Integrating new learning into practice"," "," "," ","1","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4"," "
"Practicing good judgement and decision-making"," "," ","1"," ","3"," "," "
"Problem solving"," "," ","1"," ","3"," "," "
"Reading electronic documents"," ","1","1","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","3"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","2","1"
"Self-starting/initiating"," "," ","1"," ","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2"," ","2"," "," "
"Total","1","1","9","7","19","9","2"
