"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","6","6","10"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4","8","9"," "," "
"Follow multiple step commands","1"," "," "," "," ","16","5"
"Integrating new learning into practice"," "," ","6","7","9"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","17","4"
"Practicing good judgement and decision-making"," "," ","6","2","14"," "," "
"Problem solving"," "," ","7","5","10"," "," "
"Reading electronic documents"," ","2","2","16","2"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","15","2"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","14","7"
"Self-starting/initiating"," "," ","10","8","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","7","8"," "," "
"Total","3","5","51","74","68","47","16"
