"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","3","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","5","2","7"," "," "
"Follow multiple step commands","2"," "," "," "," ","11","2"
"Integrating new learning into practice"," "," ","3","3","9"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","10","5"
"Practicing good judgement and decision-making"," "," ","4","2","9"," "," "
"Problem solving"," "," ","7","1","7"," "," "
"Reading electronic documents"," ","2","4","6","3"," "," "
"Reading paper documents (handwritten or typed)"," "," ","4","6","5"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","7","6"
"Self-starting/initiating"," "," ","4","2","9"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","4","10"," "," "
"Total","4","3","36","29","67","28","13"
