"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","6"," "," "
"By hand"," "," "," "," "," ","7"," "," "
"Carrying less than 5 kg"," ","1","6"," "," "," "," "," "
"Carrying more than 5 kg"," ","5","2"," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," ","2"
"Exposure to chemicals","7"," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","6"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","6","1"," "," "," "," "
"Grasping"," "," ","6","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","2"," "," "," ","5"," "," "
"Keyboarding on phone"," ","3"," "," "," ","4"," "," "
"Kneeling/squatting"," ","2"," "," "," ","5"," "," "
"Lifting less than 5 kg"," ","1","6"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","3"," "," "," "," "," "
"Other climbing"," ","6"," "," "," ","1"," "," "
"Pinching"," "," ","6","1"," "," "," "," "
"Pulling less than 5 kg"," ","7"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","7"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","7"," "," "," "," "," "," "
"Reaching"," "," ","6","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","3"," "," "
"Sitting (Intermittent)"," "," "," "," ","3","3","1"," "
"Stair climbing"," ","1"," "," ","1","5"," "," "
"Standing (Continuous)"," ","1"," "," ","2","4"," "," "
"Standing (Intermittent)"," "," "," "," ","2","5"," "," "
"Travel via car required","6"," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","4"," "," "," ","3"," "," "
"Use of sharp tools","6"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","6"," "," "
"Work only indoors","3"," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","6"," "," "," "," "," "," ","1"
"Total","73","57","43","4","13","57","1","25"
