"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","3","5"," "," "
"By hand"," ","2"," "," "," ","7"," "," "
"Carrying less than 5 kg"," ","3","6"," "," "," "," "," "
"Carrying more than 5 kg"," ","8","1"," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," ","3"
"Exposure to chemicals","9"," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","8"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","8"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," ","1"
"Exposure to strong odors","8"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","7","1"," "," "," "," "
"Grasping"," ","1","6","2"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","6"," "," "
"Keyboarding on phone"," ","6"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","3","6"," "," "
"Lifting less than 5 kg"," ","1","7","1"," "," "," "," "
"Lifting more than 5 kg"," ","6","3"," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","1"," "," "
"Pinching"," ","2","6","1"," "," "," "," "
"Pulling less than 5 kg"," ","8","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","8","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","3"," "," "," "," "," "
"Reaching"," ","1","6","2"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","2","4"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","6","1"," "
"Stair climbing"," ","3"," "," ","1","5"," "," "
"Standing (Continuous)"," ","2"," "," ","2","5"," "," "
"Standing (Intermittent)"," "," "," "," ","2","6","1"," "
"Travel via car required","9"," "," "," "," "," "," "," "
"Travel via public transportation required","9"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","3"," "," "
"Use of sharp tools","8"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","6","1"," "
"Work only indoors","2"," "," "," "," "," "," ","7"
"Work outdoors > 2 hour","8"," "," "," "," "," "," ","1"
"Total","100","83","49","7","20","63","3","26"
