"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","2","5"," "," "
"By hand"," ","2"," "," "," ","6"," "," "
"Carrying less than 5 kg"," ","2","6"," "," "," "," "," "
"Carrying more than 5 kg"," ","7","1"," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," ","2"
"Exposure to chemicals","8"," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," "
"Exposure to strong odors","8"," "," "," "," "," "," "," "
"Finger dexterity"," ","1","6","1"," "," "," "," "
"Grasping"," ","1","5","2"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","6"," "," "
"Keyboarding on phone"," ","6"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","2","6"," "," "
"Lifting less than 5 kg"," ","1","6","1"," "," "," "," "
"Lifting more than 5 kg"," ","6","2"," "," "," "," "," "
"Other climbing"," ","8"," "," "," "," "," "," "
"Pinching"," ","2","5","1"," "," "," "," "
"Pulling less than 5 kg"," ","7","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","7","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","2"," "," "," "," "," "
"Reaching"," ","1","5","2"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","1","4"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","6","1"," "
"Stair climbing"," ","3"," "," ","1","4"," "," "
"Standing (Continuous)"," ","2"," "," ","1","5"," "," "
"Standing (Intermittent)"," "," "," "," ","1","6","1"," "
"Travel via car required","8"," "," "," "," "," "," "," "
"Travel via public transportation required","8"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","2"," "," "
"Use of sharp tools","7"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","6","1"," "
"Work only indoors","1"," "," "," "," "," "," ","7"
"Work outdoors > 2 hour","8"," "," "," "," "," "," "," "
"Total","94","78","41","7","13","58","3","18"
