"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","2","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","4","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","7","1"
"Integrating new learning into practice"," "," ","4","2","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","7","1"
"Practicing good judgement and decision-making"," "," ","4","1","3"," "," "
"Problem solving"," "," ","5","1","2"," "," "
"Reading electronic documents"," ","1","4","3"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","5","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","5","1"
"Self-starting/initiating"," "," ","1","5","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","1","3"," "," "
"Total","2","1","28","24","19","19","3"
