"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","2","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," "," ","6","1"," "," "
"Independent work"," "," ","3","3","1"," "," "
"Work at a fast pace"," "," ","2","3","2"," "," "
"Work under tight deadlines"," ","1","2","4"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","2","5"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","2","2"
"Work with clients who may be aggressive","6"," "," "," "," ","1"," "
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","2","5"
"Work with clients with cognitive deficits","2"," "," "," "," ","3","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","5","2"
"Work with interdisciplinary team members"," "," ","1","3","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","4","2"
"Work with more than one preceptor"," ","1","1","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","4"," ","2","1"," "," "
"Work with other students"," "," "," ","6","1"," "," "
"Total","15","6","9","30","11","21","20"
