"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," ","1"
"Bending"," ","4"," "," "," ","1"," "," "," "
"By hand"," "," "," "," ","2","2"," ","1"," "
"Carrying less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","5"," "," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","1","1"," "," ","2"," "," "
"Grasping"," ","1","1","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","2"," ","2"," "
"Keyboarding on phone"," ","4"," "," ","1"," "," "," "," "
"Kneeling/squatting"," ","3"," "," "," ","2"," "," "," "
"Lifting less than 5 kg"," "," ","3","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","5"," "," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "," "
"Pinching"," ","2","2","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4"," ","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4"," ","1"," "," "," "," "," "
"Reaching"," ","1","2","1"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," "," ","2"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," ","3"," "
"Stair climbing"," "," "," "," "," ","5"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","3"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","1"," ","1"," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","3"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","3"," "," "," ","2"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","3"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","4"," "," "," "," "," "," "," ","1"
"Total","54","52","15","9","11","24","4","10","16"
