"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","1","1"," "," "
"By hand"," "," "," "," "," ","2"," "," "
"Carrying less than 5 kg"," "," ","1","1"," "," "," "," "
"Carrying more than 5 kg"," "," ","2"," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," "," "
"Exposure to chemicals","2"," "," "," "," "," "," "," "
"Exposure to excessive dust","2"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","1"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","2"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," "," "
"Exposure to strong odors","1"," "," "," "," "," "," ","1"
"Finger dexterity"," "," "," ","1"," "," ","1"," "
"Grasping"," "," "," ","1"," "," ","1"," "
"Keyboarding on computer or tablet"," "," "," "," ","2"," "," "," "
"Keyboarding on phone"," ","2"," "," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," ","1"," "," "," "
"Lifting less than 5 kg"," "," ","1","1"," "," "," "," "
"Lifting more than 5 kg"," "," ","2"," "," "," "," "," "
"Other climbing"," ","2"," "," "," "," "," "," "
"Pinching"," "," ","1","1"," "," "," "," "
"Pulling less than 5 kg"," "," ","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","1","1"," "," "," "," "," "
"Pushing less than 5 kg"," "," ","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","1","1"," "," "," "," "," "
"Reaching"," "," "," ","1"," "," ","1"," "
"Sitting (Continuous)"," "," "," "," "," ","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," "," "
"Stair climbing"," "," "," "," "," ","2"," "," "
"Standing (Continuous)"," "," "," "," ","1","1"," "," "
"Standing (Intermittent)"," "," "," "," ","2"," "," "," "
"Travel via car required","2"," "," "," "," "," "," "," "
"Travel via public transportation required","2"," "," "," "," "," "," "," "
"Twisting /awkward posture"," "," "," "," "," ","2"," "," "
"Use of sharp tools","1"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","1"," "," "
"Work only indoors"," "," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","2"," "," "," "," "," "," "," "
"Total","22","7","13","6","9","12","3","6"
