"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1","3","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","5","2"," "," "
"Follow multiple step commands","1"," "," "," ","5","2"
"Integrating new learning into practice"," ","1","3","4"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," ","6","1"
"Practicing good judgement and decision-making"," ","1","2","5"," "," "
"Problem solving"," ","1","3","4"," "," "
"Reading electronic documents"," "," ","6","2"," "," "
"Reading paper documents (handwritten or typed)"," ","2","4","2"," "," "
"Require instant recall of facts/data","1"," "," "," ","3","4"
"Self-starting/initiating"," ","2","3","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","2","3","3"," "," "
"Total","3","11","32","29","14","7"
