"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","10"," "," "," "," ","12","35"
"Group work (e.g. Client and family meetings, team meetings)"," ","5","3","48","1"," "," "
"Independent work"," ","1","18","26","12"," "," "
"Work at a fast pace"," "," ","9","10","38"," "," "
"Work under tight deadlines"," ","8","16","22","11"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","39","18"
"Work with clients who have experienced psychological trauma","17"," "," "," "," ","9","31"
"Work with clients who may be aggressive","17"," "," "," "," ","6","34"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","35","22"
"Work with clients with cognitive deficits"," "," "," "," "," ","50","7"
"Work with clients with multiple diagnoses"," "," "," "," "," ","55","2"
"Work with interdisciplinary team members"," "," ","17","18","22"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","40","17"
"Work with more than one preceptor"," ","43","3","5","6"," "," "
"Work with Occupational Therapy Assistant(s)"," ","13","3","39","2"," "," "
"Work with other students"," ","33","2","20","2"," "," "
"Total","44","103","71","188","94","246","166"
