"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," "," ","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","10"," "," "," "
"Independent work"," "," ","6","4","1"," "," "
"Work at a fast pace"," "," ","1","7","3"," "," "
"Work under tight deadlines"," ","2","4","5"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","5","6"
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","3","3"
"Work with clients who may be aggressive","7"," "," "," "," "," ","4"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","6","4"
"Work with clients with cognitive deficits","1"," "," "," "," ","5","5"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9","2"
"Work with interdisciplinary team members"," "," ","1","7","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","7"," "," "," "," ","2","2"
"Work with more than one preceptor"," ","3","4","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3"," ","8"," "," "," "
"Work with other students"," ","3","2","6"," "," "," "
"Total","26","12","18","49","9","30","32"
