"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","6"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","3","4"," "," "
"Follow multiple step commands","1"," "," "," ","7"," "
"Integrating new learning into practice"," ","1","3","4"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," ","5","2"
"Practicing good judgement and decision-making"," "," ","1","7"," "," "
"Problem solving"," ","3","2","3"," "," "
"Reading electronic documents"," ","1","7"," "," "," "
"Reading paper documents (handwritten or typed)"," ","3","5"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","4","3"
"Self-starting/initiating"," ","3","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","1","2","5"," "," "
"Total","3","13","27","32","16","5"
