"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","1"," ","4"," "," "
"Follow multiple step commands","2"," "," "," "," ","4"," "
"Integrating new learning into practice"," "," ","2","1","3"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","5"," "
"Practicing good judgement and decision-making"," "," ","1","1","4"," "," "
"Problem solving"," "," ","2","2","2"," "," "
"Reading electronic documents"," "," ","4","2"," "," "," "
"Reading paper documents (handwritten or typed)"," ","1","1","4"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3","2"
"Self-starting/initiating"," "," ","4"," ","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","3"," "," "
"Total","4","2","19","12","21","12","2"
