"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," ","1"
"Bending"," ","5"," "," "," "," "," "," "
"By hand"," ","3"," ","1","1"," "," "," "
"Carrying less than 5 kg"," ","4","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","5"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","4"," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," ","2"
"Exposure to strong odors","3"," "," "," "," "," "," ","2"
"Finger dexterity"," ","3","1"," "," ","1"," "," "
"Grasping"," ","3","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","2","1"," ","2"," "
"Keyboarding on phone"," ","3"," "," ","2"," "," "," "
"Kneeling/squatting"," ","5"," "," "," "," "," "," "
"Lifting less than 5 kg"," ","5"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","5"," "," "," "," "," "," "
"Other climbing"," ","4"," "," ","1"," "," "," "
"Pinching"," ","3","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","5"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","5"," "," "," "," "," "," "
"Reaching"," ","3","2"," "," "," "," "," "
"Sitting (Continuous)"," "," "," ","1","2"," ","2"," "
"Sitting (Intermittent)"," "," "," ","2","1"," ","2"," "
"Stair climbing"," ","1"," "," ","4"," "," "," "
"Standing (Continuous)"," ","1"," "," ","4"," "," "," "
"Standing (Intermittent)"," "," "," ","1","4"," "," "," "
"Travel via car required","4"," "," "," "," "," "," ","1"
"Travel via public transportation required","2"," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","5"," "," "," "," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","5"," "," "," "
"Work only indoors","1"," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "
"Total","50","78","8","7","25","1","6","20"
