"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","3","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","5","3","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","8","2"
"Integrating new learning into practice"," "," ","1","5","5"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","7","3"
"Practicing good judgement and decision-making"," "," ","3","1","7"," "," "
"Problem solving"," "," ","4","4","3"," "," "
"Reading electronic documents"," ","2"," ","9"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","4","7"," "," "," "
"Require instant recall of facts/data","3"," "," "," "," ","5","3"
"Self-starting/initiating"," "," ","5","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","2","6"," "," "
"Total","5","2","28","36","33","20","8"
