"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","6"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","2","6"," "," "
"Follow multiple step commands"," "," "," "," "," ","6","3"
"Integrating new learning into practice"," "," ","4"," ","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","3"
"Practicing good judgement and decision-making"," "," "," ","1","8"," "," "
"Problem solving"," "," ","2","2","5"," "," "
"Reading electronic documents"," "," ","2","4","3"," "," "
"Reading paper documents (handwritten or typed)"," ","1","1","4","3"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","5","3"
"Self-starting/initiating"," "," ","3","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2"," ","7"," "," "
"Total","1","1","17","15","48","17","9"
