"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","3","8"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","2","12"," "," "," "
"Independent work"," ","1","5","5","5"," "," "
"Work at a fast pace"," "," ","4","2","10"," "," "
"Work under tight deadlines"," ","2","7","5","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","5","10"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","4","9"
"Work with clients who may be aggressive","6"," "," "," "," ","5","5"
"Work with clients with challenging economic and/or personal circumstances","3"," "," "," "," ","5","8"
"Work with clients with cognitive deficits"," "," "," "," "," ","14","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","13","3"
"Work with interdisciplinary team members"," "," ","8","3","5"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","11","5"
"Work with more than one preceptor"," ","10","2","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","10","1","5"," "," "," "
"Work with other students"," ","7","2","6","1"," "," "
"Total","18","32","31","40","25","60","50"
