"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently"
"Analytical or clinical/professional reasoning"," ","1"," ","1"," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1"," ","1"," "
"Follow multiple step commands"," "," "," "," ","2"
"Integrating new learning into practice"," ","1"," ","1"," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","2"
"Practicing good judgement and decision-making"," ","1"," ","1"," "
"Problem solving"," ","1"," ","1"," "
"Reading electronic documents"," ","1","1"," "," "
"Reading paper documents (handwritten or typed)","1"," ","1"," "," "
"Require instant recall of facts/data"," "," "," "," ","2"
"Self-starting/initiating"," ","1"," ","1"," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","1"," ","1"," "
"Total","1","8","2","7","6"
