"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","5","3","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","8","3"
"Integrating new learning into practice"," "," ","2","5","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","10","1"
"Practicing good judgement and decision-making"," "," ","6","1","4"," "," "
"Problem solving"," "," ","7","1","3"," "," "
"Reading electronic documents"," ","3","3","5"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","7","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","7","1"
"Self-starting/initiating"," "," ","3","4","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","6","1","4"," "," "
"Total","3","3","40","29","27","25","5"
