"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","4","10"
"Group work (e.g. Client and family meetings, team meetings)"," ","4","2","13"," "," "," "
"Independent work"," ","1","6","8","4"," "," "
"Work at a fast pace"," "," ","5","2","12"," "," "
"Work under tight deadlines"," ","2","7","7","3"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","7","11"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","4","11"
"Work with clients who may be aggressive","6"," "," "," "," ","5","8"
"Work with clients with challenging economic and/or personal circumstances","4"," "," "," "," ","6","9"
"Work with clients with cognitive deficits"," "," "," "," "," ","16","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","16","3"
"Work with interdisciplinary team members"," "," ","11","3","5"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","14","5"
"Work with more than one preceptor"," ","12","2","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","10","1","8"," "," "," "
"Work with other students"," ","8","2","8","1"," "," "
"Total","20","37","36","52","27","72","60"
