"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "," "
"Bending"," ","1"," "," "," ","3"," "," "," "
"By hand"," ","1"," "," ","1","2"," "," "," "
"Carrying less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," "," "
"Exposure to strong odors","4"," "," "," "," "," "," "," "," "
"Finger dexterity"," "," ","1","2"," "," ","1"," "," "
"Grasping"," "," ","3","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","1"," ","2"," "
"Keyboarding on phone"," ","2"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","2"," "," "," "
"Lifting less than 5 kg"," ","1","2","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," "," "," "," "," "
"Pinching"," ","1","3"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","3","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Reaching"," ","1","3"," "," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","1"," "," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," ","2"," "
"Stair climbing"," ","1"," "," "," ","3"," "," "," "
"Standing (Continuous)"," ","1"," "," "," ","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," "," ","2"," ","2"," "
"Travel via car required","3"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","2"," "," "," "
"Use of sharp tools","3"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," "," ","4"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","4"," "," "," "," "," "," "," "," "
"Total","46","40","18","4","4","24","1","9","10"
