"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","9","2","9"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","8","3","7"," "," "
"Follow multiple step commands","5"," "," "," "," ","15"," "
"Integrating new learning into practice"," "," ","8","4","8"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","15","4"
"Practicing good judgement and decision-making"," "," ","7","4","9"," "," "
"Problem solving"," "," ","11","1","8"," "," "
"Reading electronic documents"," ","2","6","10","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","5","13","1"," "," "
"Require instant recall of facts/data","6"," "," "," "," ","9","5"
"Self-starting/initiating"," "," ","12","3","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","9","7","4"," "," "
"Total","12","5","75","47","53","39","9"
