"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," "," ","1"," ","1"," "
"By hand"," ","1"," "," "," ","2"," "," "," "
"Carrying less than 5 kg"," ","1","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","1","2"," "," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","3"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","1"," "," "," "," ","2"," "," "
"Grasping"," "," "," ","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","2"," "," "," "
"Keyboarding on phone"," ","3"," "," "," "," "," "," "," "
"Kneeling/squatting"," "," "," "," "," ","2"," ","1"," "
"Lifting less than 5 kg"," "," ","3"," "," "," "," "," "," "
"Lifting more than 5 kg"," "," ","2","1"," "," "," "," "," "
"Other climbing"," ","2"," "," "," ","1"," "," "," "
"Pinching"," ","1","1"," "," "," ","1"," "," "
"Pulling less than 5 kg"," ","2","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","2","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," "," ","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","1"," "," "," "," "," "," "
"Reaching"," "," "," ","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," "," "," "," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","1"," "," ","2"," "
"Stair climbing"," ","1"," "," "," ","1"," ","1"," "
"Standing (Continuous)"," "," "," "," ","1"," "," ","2"," "
"Standing (Intermittent)"," "," "," "," "," "," "," ","3"," "
"Travel via car required","3"," "," "," "," "," "," "," "," "
"Travel via public transportation required","2"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","1"," "," "," ","1"," ","1"," "
"Use of sharp tools","3"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," "," ","2"," ","1"," "
"Work only indoors","1"," "," "," "," "," "," "," ","2"
"Work outdoors > 2 hour","3"," "," "," "," "," "," "," "," "
"Total","34","20","16","5","3","12","5","14","8"
