"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","3","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1"," ","3","2"," "," "
"Follow multiple step commands","1"," "," "," "," ","4","1"
"Integrating new learning into practice"," "," ","2","2","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6"," "
"Practicing good judgement and decision-making"," "," ","2","1","3"," "," "
"Problem solving"," "," ","3","2","1"," "," "
"Reading electronic documents"," ","2","1","3"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","5","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","2","2"
"Self-starting/initiating"," "," ","1","3","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","3"," "," "
"Total","3","3","13","23","15","12","3"
