"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "
"Bending"," ","3"," ","2","3"," "," "
"By hand"," ","2"," "," ","6"," "," "
"Carrying less than 5 kg"," ","4","4"," "," "," "," "
"Carrying more than 5 kg"," ","7","1"," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," ","2"
"Exposure to chemicals","7"," "," "," "," "," ","1"
"Exposure to excessive dust","7"," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," ","2"
"Exposure to extreme temperatures","5"," "," "," "," "," ","3"
"Exposure to infectious agents/disease","4"," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," ","4"
"Exposure to strong odors","6"," "," "," "," "," ","2"
"Finger dexterity"," ","3","5"," "," "," "," "
"Grasping"," ","3","5"," "," "," "," "
"Keyboarding on computer or tablet"," ","2"," ","2","4"," "," "
"Keyboarding on phone"," ","5"," "," ","3"," "," "
"Kneeling/squatting"," ","4"," ","1","3"," "," "
"Lifting less than 5 kg"," ","3","5"," "," "," "," "
"Lifting more than 5 kg"," ","7","1"," "," "," "," "
"Other climbing"," ","7"," "," ","1"," "," "
"Pinching"," ","4","4"," "," "," "," "
"Pulling less than 5 kg"," ","8"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","1"," "," "," "," "
"Pushing less than 5 kg"," ","7","1"," "," "," "," "
"Pushing more than 5 kg"," ","7","1"," "," "," "," "
"Reaching"," ","3","5"," "," "," "," "
"Sitting (Continuous)"," ","3"," ","2","2","1"," "
"Sitting (Intermittent)"," ","3"," ","2","2","1"," "
"Stair climbing"," ","3"," ","1","4"," "," "
"Standing (Continuous)"," ","4"," ","2","2"," "," "
"Standing (Intermittent)"," ","2"," ","2","4"," "," "
"Travel via car required","7"," "," "," "," "," ","1"
"Travel via public transportation required","7"," "," "," "," "," ","1"
"Twisting /awkward posture"," ","6"," "," ","2"," "," "
"Use of sharp tools","7"," "," "," "," "," ","1"
"Walking"," ","2"," ","2","4"," "," "
"Work only indoors","5"," "," "," "," "," ","3"
"Work outdoors > 5 hour","6"," "," "," "," "," ","2"
"Total","85","109","33","16","40","2","27"
