"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","3"," ","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","4","3"
"Integrating new learning into practice"," "," ","1","2","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","2"
"Practicing good judgement and decision-making"," "," ","2","1","5"," "," "
"Problem solving"," "," ","4","1","3"," "," "
"Reading electronic documents"," ","1","3","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","8"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","3","3"
"Self-starting/initiating"," "," ","4"," ","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","2","3"," "," "
"Total","3","2","22","20","28","13","8"
