"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4","1","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","6","3"
"Integrating new learning into practice"," "," ","2","3","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","1"
"Practicing good judgement and decision-making"," "," ","3","2","5"," "," "
"Problem solving"," "," ","5","1","4"," "," "
"Reading electronic documents"," ","2","4","3","1"," "," "
"Reading paper documents (handwritten or typed)"," ","1","1","7","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","4","3"
"Self-starting/initiating"," "," ","5","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","2","4"," "," "
"Total","4","4","32","22","32","19","7"
