"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","2"," ","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","2","1"," "," "," "
"Follow multiple step commands"," "," "," ","3"," "
"Integrating new learning into practice","3"," "," "," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","2","1"
"Practicing good judgement and decision-making","3"," "," "," "," "
"Problem solving","3"," "," "," "," "
"Reading electronic documents","2","1"," "," "," "
"Reading paper documents (handwritten or typed)","2","1"," "," "," "
"Require instant recall of facts/data"," "," "," ","3"," "
"Self-starting/initiating","1","2"," "," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)","3"," "," "," "," "
"Total","21","5","1","8","1"
