"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","4"," "," "
"By hand"," ","2"," "," "," ","3"," "," "
"Carrying less than 5 kg"," ","1","3","1"," "," "," "," "
"Carrying more than 5 kg"," ","3","2"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","2"
"Exposure to chemicals","4"," "," "," "," "," "," ","1"
"Exposure to excessive dust","5"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "," ","3"
"Exposure to strong odors","2"," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","4"," "," "," "," "," "
"Grasping"," ","1","3","1"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","4"," "," "
"Keyboarding on phone"," ","3"," "," "," ","2"," "," "
"Kneeling/squatting"," ","2"," "," "," ","3"," "," "
"Lifting less than 5 kg"," ","1","3","1"," "," "," "," "
"Lifting more than 5 kg"," ","4","1"," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "
"Pinching"," ","1","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","4"," ","1"," "," "," "," "
"Pulling more than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1","1"," "," "," "," "
"Pushing more than 5 kg"," ","4","1"," "," "," "," "," "
"Reaching"," ","1","3","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","1","3"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","2","1"," "
"Stair climbing"," ","1"," "," ","1","3"," "," "
"Standing (Continuous)"," ","1"," "," ","1","3"," "," "
"Standing (Intermittent)"," "," "," "," ","1","4"," "," "
"Travel via car required","3"," "," "," "," "," "," ","2"
"Travel via public transportation required","3"," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","2"," "," "," ","3"," "," "
"Use of sharp tools","4"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","4"," "," "
"Work only indoors","4"," "," "," "," "," "," ","1"
"Work outdoors > 5 hour","3"," "," "," "," "," "," ","2"
"Total","47","44","26","6","9","39","1","23"
